0.000, -4.450, 1.301, -0.390, -4.360, 4.610, 0.220, -2.240, 0.000
1.000, 0.661, 1.289, 2.490, -4.360, 4.610, 0.220, -2.240, 0.000
2.000, -3.699, 1.299, -0.390, 0.220, -2.240, -4.360, 4.610, 1.000
3.000, -0.090, 1.291, 2.490, -4.360, 4.610, 0.220, -2.240, 0.000
4.000, -4.200, 1.300, -0.390, 0.220, -2.240, -4.360, 4.610, 0.000
5.000, -0.341, 1.291, 2.490, -4.360, 4.610, 0.220, -2.240, 1.000
6.000, -3.950, 1.299, -0.390, 0.220, -2.240, -4.360, 4.610, 1.000
7.000, 0.410, 1.289, 2.490, -4.360, 4.610, 0.220, -2.240, 0.000
8.000, -4.701, 1.301, -0.390, 0.220, -2.240, -4.360, 4.610, 0.000
9.000, 0.160, 1.290, 2.490, -4.360, 4.610, 0.220, -2.240, 1.000
10.000, -4.450, 1.301, -0.390, 0.220, -2.240, -4.360, 4.610, 1.000
