0.000, -3.068, -0.278, 1.100, -4.360, 4.610, 0.220, -2.240, 0.000
1.000, -1.312, 2.928, -1.910, -4.360, 4.610, 0.220, -2.240, 1.000
2.000, -3.552, -1.162, 1.100, 0.220, -2.240, -4.360, 4.610, 0.000
3.000, -0.949, 3.591, -1.910, -4.360, 4.610, 0.220, -2.240, 0.000
4.000, -3.431, -0.941, 1.100, 0.220, -2.240, -4.360, 4.610, 1.000
5.000, -1.191, 3.149, -1.910, -4.360, 4.610, 0.220, -2.240, 0.000
6.000, -3.310, -0.720, 1.100, 0.220, -2.240, -4.360, 4.610, 0.000
7.000, -0.828, 3.812, -1.910, -4.360, 4.610, 0.220, -2.240, 1.000
8.000, -3.189, -0.499, 1.100, 0.220, -2.240, -4.360, 4.610, 1.000
9.000, -1.070, 3.370, -1.910, -4.360, 4.610, 0.220, -2.240, 1.000
10.000, -3.068, -0.278, 1.100, 0.220, -2.240, -4.360, 4.610, 0.000
