0.000, -4.069, -0.034, 0.300, -4.360, 4.610, 0.220, -2.240, 0.000
1.000, -0.560, 2.170, -2.800, -4.360, 4.610, 0.220, -2.240, 0.000
2.000, -3.874, 0.088, 0.300, 0.220, -2.240, -4.360, 4.610, 1.000
3.000, -0.171, 2.414, -2.800, -4.360, 4.610, 0.220, -2.240, 0.000
4.000, -3.486, 0.332, 0.300, 0.220, -2.240, -4.360, 4.610, 1.000
5.000, -0.366, 2.292, -2.800, -4.360, 4.610, 0.220, -2.240, 0.000
6.000, -3.680, 0.210, 0.300, 0.220, -2.240, -4.360, 4.610, 1.000
7.000, -0.754, 2.048, -2.800, -4.360, 4.610, 0.220, -2.240, 0.000
8.000, -3.291, 0.454, 0.300, 0.220, -2.240, -4.360, 4.610, 1.000
9.000, -0.949, 1.926, -2.800, -4.360, 4.610, 0.220, -2.240, 1.000
10.000, -4.069, -0.034, 0.300, 0.220, -2.240, -4.360, 4.610, 0.000
